DEPARTAMENTO;SECAO;CATEGORIA;FORNECEDOR;COD;DESCRICAO;LOJA;QTD_Venda_NOV;QTD_Venda_OUT;QTD_Venda_SET;QTD_Venda_AGO;QTD_Venda_JUL;QTD_Venda_JUN;Comprador
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;46875; LAVA ROUPAS LIQ OMO 900ML PTA;28 - AGUAS CLARAS;66;46;89;81;116;107;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51758; COND SEDA CACHOS DEFINIDOS 425ML;32 - CEILANDIA CENTRO;66;45;68;74;84;67;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51759; COND SEDA CERAMIDAS 425ML;28 - AGUAS CLARAS;66;82;101;105;106;107;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51766; SH SEDA BOOM PRO CURVATURA 425ML;27 - PLANALTINA;66;55;86;87;78;148;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;39412; SAB LIQ LUX ORQUIDEA NEGRA REFIL 200ML;32 - CEILANDIA CENTRO;66;146;71;35;83;83;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54911; SAB LUX BRASIL 100G DAMA DA NOITE;30 - LEM - BA;66;27;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;49715; CR DENT CLOSE UP 130G FRESH ACTION;27 - PLANALTINA;66;116;122;112;112;99;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;TEMPEROS E CONDIMENTOS;REALCADOR;5986 - UNILEVER BRASIL LTDA;5263; CALDO ARISCO GALINHA CAIPIRA 114G;27 - PLANALTINA;66;42;101;87;108;180;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;TEMPEROS E CONDIMENTOS;REALCADOR;5986 - UNILEVER BRASIL LTDA;5267; CALDO ARISCO CARNE 114G;28 - AGUAS CLARAS;66;46;78;91;60;73;ALESSANDRO MORAIS GONÇALVES
FOOD SERVICE;MERCEARIA;TEMPEROS E CONDIMENTOS;195 - UNILEVER BRASIL LTDA;39907; MAIONESE HELLMANNS SCH 168X7G;30 - LEM - BA;65;29;0;10;0;0;FOOD SERVICE
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51758; COND SEDA CACHOS DEFINIDOS 425ML;30 - LEM - BA;65;49;75;88;133;70;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54910; SAB LUX BRASIL 100G BROLMELIA;30 - LEM - BA;65;42;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
